"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"mmu-mir-142-3p-A",-0.144248582315567,7.15732358527101,-1.43342598847008,0.158977834912149,0.341690790134506,-5.51619531059034,"Not Significant"
"Hcd534 left.1",0.169449196526238,7.45277657383396,1.43334913088723,0.158999669432707,0.341690790134506,-5.51630050177665,"Not Significant"
"uc.275+A.1",0.162433493439114,8.53452931899863,1.43248342432014,0.159245770855437,0.342147858489231,-5.51748499847761,"Not Significant"
"Blank.735",0.186582112465868,6.56274530439526,1.43225337602199,0.15931121869768,0.342216672847545,-5.51779965125903,"Not Significant"
"Hcd574 left",-0.188649361909579,7.62498714255879,-1.43115414907522,0.159624235317962,0.342817149676159,-5.51930250643981,"Not Significant"
"hsa-miR-767-3p-A",-0.163029765322656,6.79485371451389,-1.43095421344316,0.159681220849113,0.342867624553347,-5.51957574452337,"Not Significant"
"mmu-miR-669c-P",-0.317890727014102,10.4489000643862,-1.43002321181671,0.159946784142905,0.343307140293255,-5.52084762351892,"Not Significant"
"Blank.599",0.151411752765832,6.59883028709591,1.43000155599659,0.159952965462804,0.343307140293255,-5.52087719947569,"Not Significant"
"mmu-mir-218-2-P",-0.192334278186117,6.93459481780218,-1.42968727693318,0.160042692623201,0.343424458361067,-5.52130637341595,"Not Significant"
"mmu-miR-682-A",0.139239747078916,9.0042137952364,1.42941560686136,0.160120286590864,0.343424458361067,-5.52167729231552,"Not Significant"
"Blank.569",0.133030366395296,6.65449520440713,1.42936612056097,0.160134423957597,0.343424458361067,-5.52174485048865,"Not Significant"
"Hcd788 right.1",-0.142086976388546,6.85901014134254,-1.42934038606294,0.160141776237704,0.343424458361067,-5.52177998211421,"Not Significant"
"mmu-miR-491-P",-0.225717078066296,8.82833734008897,-1.4291690090607,0.160190744945552,0.343457543601852,-5.52201392396419,"Not Significant"
